"interElementDistance [mm]","Freq [GHz]","cang_deg(St(port2_T1,port1_T1)) [deg]"
50,10.016,47.2849822170594
50,10.017,46.8656455751836
50,10.018,46.4466887915908
50,10.019,46.0281281751493
50,10.02,45.6099799336517
50,10.021,45.1922601689066
50,10.022,44.7749848719179
50,10.023,44.358169918144
50,10.024,43.9418310628577
50,10.025,43.5259839365913
50,10.026,43.1106440406838
50,10.027,42.6958267429276
50,10.028,42.2815472733176
50,10.029,41.8678207199043
50,10.03,41.4546620247566
50,10.031,41.0420859800339
50,10.032,40.6301072241751
50,10.033,40.2187402381906
50,10.034,39.8079993420844
50,10.035,39.3978986913839
50,10.036,38.9884522737959
50,10.037,38.5796739059796
50,10.038,38.1715772304433
50,10.039,37.7641757125635
50,10.04,37.3574826377305
50,10.041,36.9515111086171
50,10.042,36.5462740425723
50,10.043,36.1417841691444
50,10.044,35.7380540277263
50,10.045,35.3350959653316
50,10.046,34.9329221344942
50,10.047,34.5315444912967
50,10.048,34.1309747935251
50,10.049,33.7312245989474
50,10.05,33.3323052637196
60,9.95,-48.1692161223275
60,9.951,-48.5719380525879
60,9.952,-48.9754471935292
60,9.953,-49.37973222353
60,9.954,-49.7847815916577
60,9.955,-50.1905835188306
60,9.956,-50.5971259991201
60,9.957,-51.0043968012038
60,9.958,-51.4123834699572
60,9.959,-51.8210733281949
60,9.96,-52.2304534785595
60,9.961,-52.6405108055567
60,9.962,-53.0512319777396
60,9.963,-53.4626034500438
60,9.964,-53.8746114662674
60,9.965,-54.2872420617045
60,9.966,-54.7004810659224
60,9.967,-55.1143141056948
60,9.968,-55.5287266080762
60,9.969,-55.9437038036259
60,9.97,-56.3592307297806
60,9.971,-56.7752922343688
60,9.972,-57.1918729792728
60,9.973,-57.6089574442305
60,9.974,-58.0265299307802
60,9.975,-58.4445745663439
60,9.976,-58.8630753084461
60,9.977,-59.2820159490721
60,9.978,-59.7013801191526
60,9.979,-60.1211512931839
60,9.98,-60.5413127939713
60,9.981,-60.9618477974975
60,9.982,-61.3827393379132
60,9.983,-61.8039703126447
60,9.984,-62.2255234876142
60,9.985,-62.6473815025724
60,9.986,-63.0695268765352
60,9.987,-63.4919420133266
60,9.988,-63.9146092072156
60,9.989,-64.3375106486502
60,9.99,-64.7606284300793
60,9.991,-65.1839445518588
60,9.992,-65.6074409282405
60,9.993,-66.0310993934324
60,9.994,-66.4549017077321
60,9.995,-66.8788295637242
60,9.996,-67.3028645925355
60,9.997,-67.7269883701491
60,9.998,-68.1511824237635
60,9.999,-68.5754282381965
60,10,-68.9997072623268
60,10.001,-69.4240009155691
60,10.002,-69.8482905943747
60,10.003,-70.272557678752
60,10.004,-70.6967835388051
60,10.005,-71.1209495412789
60,10.006,-71.5450370561078
60,10.007,-71.9690274629652
60,10.008,-72.3929021578021
60,10.009,-72.8166425593698
60,10.01,-73.2402301157302
60,10.011,-73.6636463107335
60,10.012,-74.0868726704644
60,10.013,-74.5098907696614
60,10.014,-74.9326822380815
60,10.015,-75.3552287668238
60,10.016,-75.7775121145992
60,10.017,-76.1995141139406
60,10.018,-76.6212166773487
60,10.019,-77.042601803369
60,10.02,-77.4636515825962
60,10.021,-77.884348203599
60,10.022,-78.3046739587571
60,10.023,-78.7246112500188
60,10.024,-79.1441425945543
60,10.025,-79.5632506303208
60,10.026,-79.9819181215227
60,10.027,-80.4001279639639
60,10.028,-80.817863190294
60,10.029,-81.2351069751398
60,10.03,-81.6518426401204
60,10.031,-82.0680536587418
60,10.032,-82.4837236611639
60,10.033,-82.8988364388522
60,10.034,-83.3133759490876
60,10.035,-83.7273263193522
60,10.036,-84.1406718515769
60,10.037,-84.5533970262534
60,10.038,-84.9654865064086
60,10.039,-85.3769251414374
60,10.04,-85.7876979707919
60,10.041,-86.1977902275279
60,10.042,-86.6071873417078
60,10.043,-87.0158749436532
60,10.044,-87.4238388670552
60,10.045,-87.8310651519319
60,10.046,-88.2375400474417
60,10.047,-88.6432500145443
60,10.048,-89.0481817285139
60,10.049,-89.4523220813047
60,10.05,-89.8556581837656
70,9.95,-161.929319838468
70,9.951,-162.349879391873
70,9.952,-162.771171231498
70,9.953,-163.193185778724
70,9.954,-163.61591324886
70,9.955,-164.039343651588
70,9.956,-164.463466791519
70,9.957,-164.888272268869
70,9.958,-165.313749480248
70,9.959,-165.739887619566
70,9.96,-166.166675679065
70,9.961,-166.594102450461
70,9.962,-167.022156526218
70,9.963,-167.45082630094
70,9.964,-167.880099972883
70,9.965,-168.309965545597
70,9.966,-168.740410829687
70,9.967,-169.171423444704
70,9.968,-169.602990821162
70,9.969,-170.03510020267
70,9.97,-170.467738648204
70,9.971,-170.900893034495
70,9.972,-171.334550058543
70,9.973,-171.768696240261
70,9.974,-172.203317925236
70,9.975,-172.638401287623
70,9.976,-173.073932333146
70,9.977,-173.509896902243
70,9.978,-173.946280673307
70,9.979,-174.383069166069
70,9.98,-174.820247745081
70,9.981,-175.257801623325
70,9.982,-175.695715865935
70,9.983,-176.133975394028
70,9.984,-176.57256498865
70,9.985,-177.011469294826
70,9.986,-177.450672825719
70,9.987,-177.890159966894
70,9.988,-178.329914980675
70,9.989,-178.769922010608
70,9.99,-179.210165086017
70,9.991,-179.650628126649
70,9.992,-180.091294947409
70,9.993,-180.532149263184
70,9.994,-180.973174693744
70,9.995,-181.414354768724
70,9.996,-181.855672932677
70,9.997,-182.297112550206
70,9.998,-182.738656911153
70,9.999,-183.18028923586
70,10,-183.62199268048
70,10.001,-184.06375034235
70,10.002,-184.505545265409
70,10.003,-184.947360445665
70,10.004,-185.389178836705
70,10.005,-185.830983355237
70,10.006,-186.272756886667
70,10.007,-186.714482290704
70,10.008,-187.156142406991
70,10.009,-187.597720060749
70,10.01,-188.039198068438
70,10.011,-188.480559243427
70,10.012,-188.921786401664
70,10.013,-189.362862367359
70,10.014,-189.80376997864
70,10.015,-190.244492093221
70,10.016,-190.685011594038
70,10.017,-191.125311394881
70,10.018,-191.565374445986
70,10.019,-192.005183739612
70,10.02,-192.444722315575
70,10.021,-192.883973266751
70,10.022,-193.322919744533
70,10.023,-193.76154496424
70,10.024,-194.199832210478
70,10.025,-194.637764842447
70,10.026,-195.075326299182
70,10.027,-195.512500104734
70,10.028,-195.949269873286
70,10.029,-196.385619314193
70,10.03,-196.82153223695
70,10.031,-197.256992556078
70,10.032,-197.691984295925
70,10.033,-198.126491595395
70,10.034,-198.560498712564
70,10.035,-198.993990029229
70,10.036,-199.426950055341
70,10.037,-199.859363433347
70,10.038,-200.291214942438
70,10.039,-200.722489502681
70,10.04,-201.15317217905
70,10.041,-201.583248185351
70,10.042,-202.01270288803
70,10.043,-202.441521809873
70,10.044,-202.869690633587
70,10.045,-203.297195205271
70,10.046,-203.724021537759
70,10.047,-204.150155813854
70,10.048,-204.575584389432
70,10.049,-205.000293796429
70,10.05,-205.424270745706
80,9.95,76.8636455102138
80,9.951,76.4289175065065
80,9.952,75.9934789670891
80,9.953,75.5573415896478
80,9.954,75.1205172766965
80,9.955,74.6830181340437
80,9.956,74.2448564691353
80,9.957,73.8060447892601
80,9.958,73.3665957996324
80,9.959,72.9265224013423
80,9.96,72.4858376891732
80,9.961,72.0445549492923
80,9.962,71.6026876568082
80,9.963,71.160249473198
80,9.964,70.7172542436071
80,9.965,70.2737159940159
80,9.966,69.8296489282835
80,9.967,69.3850674250547
80,9.968,68.9399860345488
80,9.969,68.4944194752187
80,9.97,68.0483826302852
80,9.971,67.6018905441505
80,9.972,67.1549584186877
80,9.973,66.7076016094145
80,9.974,66.2598356215458
80,9.975,65.8116761059323
80,9.976,65.3631388548889
80,9.977,64.9142397979057
80,9.978,64.4649949972588
80,9.979,64.0154206435099
80,9.98,63.5655330509064
80,9.981,63.1153486526819
80,9.982,62.6648839962604
80,9.983,62.2141557383661
80,9.984,61.7631806400469
80,9.985,61.3119755616093
80,9.986,60.8605574574747
80,9.987,60.4089433709522
80,9.988,59.9571504289436
80,9.989,59.5051958365729
80,9.99,59.0530968717535
80,9.991,58.600870879693
80,9.992,58.1485352673384
80,9.993,57.6961074977728
80,9.994,57.2436050845603
80,9.995,56.7910455860489
80,9.996,56.338446599636
80,9.997,55.8858257559955
80,9.998,55.4332007132809
80,9.999,54.9805891513001
80,10,54.5280087656738
80,10.001,54.0754772619765
80,10.002,53.6230123498692
80,10.003,53.1706317372293
80,10.004,52.7183531242765
80,10.005,52.2661941977091
80,10.006,51.8141726248475
80,10.007,51.3623060477932
80,10.008,50.9106120776078
80,10.009,50.4591082885216
80,10.01,50.0078122121634
80,10.011,49.5567413318326
80,10.012,49.1059130768119
80,10.013,48.6553448167134
80,10.014,48.2050538558862
80,10.015,47.7550574278714
80,10.016,47.3053726899149
80,10.017,46.8560167175426
80,10.018,46.4070064992048
80,10.019,45.9583589309888
80,10.02,45.510090811406
80,10.021,45.0622188362585
80,10.022,44.6147595935917
80,10.023,44.1677295587246
80,10.024,43.7211450893809
80,10.025,43.2750224209047
80,10.026,42.8293776615763
80,10.027,42.384226788029
80,10.028,41.9395856407675
80,10.029,41.4954699197909
80,10.03,41.0518951803257
80,10.031,40.6088768286691
80,10.032,40.1664301181508
80,10.033,39.724570145198
80,10.034,39.2833118455329
80,10.035,38.8426699904799
80,10.036,38.4026591833994
80,10.037,37.9632938562441
80,10.038,37.5245882662372
80,10.039,37.0865564926794
80,10.04,36.6492124338831
80,10.041,36.2125698042337
80,10.042,35.7766421313787
80,10.043,35.3414427535495
80,10.044,34.9069848170099
