"interElementDistance [mm]","Freq [GHz]","cang_deg(St(port2_T1,port1_T1)) [deg]"
80,9.991,-132.220392228598
80,9.992,-132.956584815322
80,9.993,-133.692997339656
80,9.994,-134.429595379249
80,9.995,-135.166344443701
80,9.996,-135.903209982041
80,9.997,-136.640157390245
80,9.998,-137.377152018814
80,9.999,-138.114159180393
80,10,-138.851144157445
80,10.001,-139.588072209977
80,10.002,-140.32490858331
80,10.003,-141.0616185159
80,10.004,-141.79816724721
80,10.005,-142.534520025628
80,10.006,-143.270642116424
80,10.007,-144.00649880977
80,10.008,-144.74205542879
80,10.009,-145.47727733765
80,10.01,-146.212129949707
80,10.011,-146.946578735681
80,10.012,-147.680589231865
80,10.013,-148.414127048385
80,10.014,-149.147157877472
80,10.015,-149.879647501781
80,10.016,-150.611561802722
80,10.017,-151.342866768828
80,10.018,-152.073528504131
80,10.019,-152.803513236564
80,10.02,-153.532787326365
80,10.021,-154.261317274503
80,10.022,-154.989069731091
80,10.023,-155.716011503812
80,10.024,-156.442109566331
80,10.025,-157.167331066698
80,10.026,-157.891643335739
80,10.027,-158.615013895417
80,10.028,-159.337410467173
80,10.029,-160.05880098023
80,10.03,-160.779153579862
80,10.031,-161.49843663561
80,10.032,-162.216618749448
80,10.033,-162.933668763906
80,10.034,-163.649555770102
80,10.035,-164.364249115727
80,10.036,-165.077718412936
80,10.037,-165.78993354616
80,10.038,-166.50086467983
80,10.039,-167.210482265998
80,10.04,-167.918757051851
80,10.041,-168.625660087117
80,10.042,-169.331162731353
80,10.043,-170.035236661099
80,10.044,-170.737853876913
80,10.045,-171.438986710252
80,10.046,-172.13860783022
80,10.047,-172.836690250153
80,10.048,-173.533207334055
80,10.049,-174.228132802864
80,10.05,-174.921440740546
90,9.95,142.785337516927
90,9.951,142.080021069752
90,9.952,141.373025324565
90,9.953,140.664375133359
90,9.954,139.954095697428
90,9.955,139.242212562581
90,9.956,138.528751614252
90,9.957,137.813739072505
90,9.958,137.097201486943
90,9.959,136.379165731539
90,9.96,135.659658999364
90,9.961,134.938708797254
90,9.962,134.216342940387
90,9.963,133.492589546799
90,9.964,132.767477031836
90,9.965,132.041034102536
90,9.966,131.313289751975
90,9.967,130.584273253535
90,9.968,129.854014155147
90,9.969,129.122542273486
90,9.97,128.389887688116
90,9.971,127.656080735617
90,9.972,126.921152003666
90,9.973,126.185132325092
90,9.974,125.448052771911
90,9.975,124.709944649329
90,9.976,123.970839489732
90,9.977,123.230769046647
90,9.978,122.489765288695
90,9.979,121.747860393524
90,9.98,121.005086741725
90,9.981,120.261476910739
90,9.982,119.51706366875
90,9.983,118.77187996856
90,9.984,118.02595894146
90,9.985,117.27933389108
90,9.986,116.532038287234
90,9.987,115.784105759741
90,9.988,115.035570092241
90,9.989,114.28646521599
90,9.99,113.536825203636
90,9.991,112.786684262981
90,9.992,112.036076730718
90,9.993,111.285037066147
90,9.994,110.533599844863
90,9.995,109.781799752421
90,9.996,109.029671577968
90,9.997,108.277250207843
