"interElementDistance [mm]","Freq [GHz]","cang_deg(St(port2_T1,port1_T1)) [deg]"
150,9.984,113.048545668798
150,9.985,112.225160310385
150,9.986,111.40123577583
150,9.987,110.576801705996
150,9.988,109.751887800751
150,9.989,108.926523813492
150,9.99,108.100739545782
150,9.991,107.274564842071
150,9.992,106.448029584508
150,9.993,105.621163687845
150,9.994,104.793997094425
150,9.995,103.966559769257
150,9.996,103.138881695173
150,9.997,102.310992868056
150,9.998,101.482923292154
150,9.999,100.654702975453
150,10,99.8263619251276
150,10.001,98.9979301430438
150,10.002,98.1694376213277
150,10.003,97.3409143379852
150,10.004,96.5123902525665
150,10.005,95.6838953018805
150,10.006,94.8554593957445
150,10.007,94.0271124127659
150,10.008,93.1988841961533
150,10.009,92.3708045495575
150,10.01,91.5429032329157
150,10.011,90.7152099583213
150,10.012,89.887754385904
150,10.013,89.0605661196922
150,10.014,88.2336747034957
150,10.015,87.4071096167712
150,10.016,86.5809002704737
150,10.017,85.7550760028951
150,10.018,84.9296660754821
150,10.019,84.1046996686283
150,10.02,83.280205877435
150,10.021,82.4562137074398
150,10.022,81.6327520703172
150,10.023,80.8098497795227
150,10.024,79.9875355459147
150,10.025,79.1658379733156
150,10.026,78.3447855540328
150,10.027,77.5244066643316
150,10.028,76.704729559856
150,10.029,75.8857823709951
150,10.03,75.0675930981999
150,10.031,74.2501896072451
150,10.032,73.4335996244466
150,10.033,72.6178507318036
150,10.034,71.8029703621131
150,10.035,70.9889857940168
150,10.036,70.1759241470053
150,10.037,69.3638123763709
150,10.038,68.5526772681128
150,10.039,67.7425454337989
150,10.04,66.9334433053892
150,10.041,66.125397130018
150,10.042,65.318432964739
150,10.043,64.5125766712458
150,10.044,63.7078539105579
150,10.045,62.9042901376911
150,10.046,62.101910596303
150,10.047,61.3007403133309
150,10.048,60.5008040936201
150,10.049,59.7021265145467
150,10.05,58.9047319206458
155,9.95,91.5092744754371
155,9.951,90.7074042418171
155,9.952,89.9041473904669
155,9.953,89.0995307059369
155,9.954,88.2935810932651
155,9.955,87.4863255648615
155,9.956,86.6777912274962
155,9.957,85.8680052693919
155,9.958,85.0569949474712
155,9.959,84.2447875747631
155,9.96,83.4314105079912
155,9.961,82.6168911353758
155,9.962,81.8012568646588
155,9.963,80.9845351113774
155,9.964,80.1667532874102
155,9.965,79.3479387898049
155,9.966,78.5281189899211
155,9.967,77.7073212228824
155,9.968,76.8855727773833
155,9.969,76.0629008858471
155,9.97,75.2393327149534
155,9.971,74.4148953565575
155,9.972,73.5896158190027
155,9.973,72.7635210188516
155,9.974,71.9366377730344
155,9.975,71.1089927914322
155,9.976,70.2806126699078
155,9.977,69.4515238837751
155,9.978,68.621752781739
155,9.979,67.7913255802878
155,9.98,66.9602683585584
155,9.981,66.1286070536718
155,9.982,65.2963674565396
155,9.983,64.4635752081439
155,9.984,63.6302557962956
155,9.985,62.7964345528593
155,9.986,61.9621366514552
155,9.987,61.1273871056182
155,9.988,60.2922107674292
155,9.989,59.4566323265941
155,9.99,58.620676309977
155,9.991,57.7843670815738
155,9.992,56.9477288429148
155,9.993,56.1107856338946
155,9.994,55.2735613340096
155,9.995,54.4360796639956
155,9.996,53.598364187856
155,9.997,52.760438315255
155,9.998,51.9223253042775
155,9.999,51.0840482645279
155,10,50.2456301605594
155,10.001,49.40709381561
155,10.002,48.5684619156352
155,10.003,47.7297570136174
155,10.004,46.8910015341271
155,10.005,46.0522177781293
155,10.006,45.2134279280052
155,10.007,44.3746540527718
155,10.008,43.5359181134814
155,10.009,42.6972419687874
155,10.01,41.8586473806325
155,10.011,41.0201560200678
155,10.012,40.1817894731703
155,10.013,39.3435692470159
155,10.014,38.5055167757303
155,10.015,37.6676534265611
155,10.016,36.8300005059626
155,10.017,35.9925792656739
155,10.018,35.1554109087701
155,10.019,34.318516595661
155,10.02,33.4819174500198
155,10.021,32.6456345646222
155,10.022,31.8096890070839
155,10.023,30.9741018254538
155,10.024,30.1388940536807
155,10.025,29.3040867168987
155,10.026,28.4697008365369
155,10.027,27.6357574352313
155,10.028,26.802277541519
155,10.029,25.9692821942987
155,10.03,25.1367924470459
155,10.031,24.3048293717686
155,10.032,23.4734140626935
155,10.033,22.6425676396459
155,10.034,21.8123112511527
155,10.035,20.9826660772198
155,10.036,20.1536533317956
155,10.037,19.3252942649015
155,10.038,18.4976101644214
155,10.039,17.6706223575455
155,10.04,16.844352211863
155,10.041,16.0188211360928
155,10.042,15.1940505804469
155,10.043,14.3700620366317
155,10.044,13.5468770374709
155,10.045,12.7245171561613
155,10.046,11.9030040051467
155,10.047,11.0823592346238
155,10.048,10.2626045306706
155,10.049,9.44376161300053
155,10.05,8.62585223234845
160,9.95,31.6132234497252
160,9.951,30.8119617402456
160,9.952,30.0095334089661
160,9.953,29.2059571639718
160,9.954,28.4012517128172
160,9.955,27.5954357582441
160,9.956,26.7885279942106
160,9.957,25.9805471022235
160,9.958,25.1715117480065
160,9.959,24.3614405784954
160,9.96,23.5503522191672
160,9.961,22.7382652717201
160,9.962,21.925198312098
160,9.963,21.1111698888688
160,9.964,20.2961985219648
160,9.965,19.4803027017773
160,9.966,18.6635008886233
160,9.967,17.8458115125617
160,9.968,17.0272529735876
160,9.969,16.2078436421853
160,9.97,15.3876018602405
160,9.971,14.5665459423201
160,9.972,13.7446941773017
160,9.973,12.922064830363
160,9.974,12.098676145316
160,9.975,11.2745463472841
160,9.976,10.4496936457207
160,9.977,9.62413623774699
160,9.978,8.79789231182202
160,9.979,7.97098005171495
160,9.98,7.14341764078465
160,9.981,6.31522326654962
160,9.982,5.48641512553578
160,9.983,4.65701142839102
160,9.984,3.82703040525813
160,9.985,2.99649031138273
160,9.986,2.16540943295404
160,9.987,1.3338060931463
160,9.988,0.501698658366736
160,9.989,-0.330894455327213
160,9.99,-1.16395477564412
160,9.991,-1.99746376733096
160,9.992,-2.83140282532444
160,9.993,-3.66575326778879
160,9.994,-4.50049632907078
160,9.995,-5.33561315258488
160,9.996,-6.17108478364582
160,9.997,-7.00689216228218
160,9.998,-7.84301611603302
160,9.999,-8.67943735276279
160,10,-9.5161364535071
160,10.001,-10.3530938653785
160,10.002,-11.1902898945448
160,10.003,-12.0277046993052
160,10.004,-12.8653182832909
160,10.005,-13.7031104887999
160,10.006,-14.5410609902972
160,10.007,-15.3791492881001
160,10.008,-16.2173547022663
160,10.009,-17.0556563667001
160,10.01,-17.8940332235201
160,10.011,-18.7324640176779
160,10.012,-19.570927291861
160,10.013,-20.4094013817207
160,10.014,-21.2478644113995
160,10.015,-22.0862942894125
160,10.016,-22.9246687048887
160,10.017,-23.7629651241863
160,10.018,-24.6011607879009
160,10.019,-25.4392327082826
160,10.02,-26.27715766708
160,10.021,-27.1149122138203
160,10.022,-27.952472664533
160,10.023,-28.7898151009541
160,10.024,-29.6269153701835
160,10.025,-30.4637490848445
160,10.026,-31.3002916237303
160,10.027,-32.1365181329512
160,10.028,-32.9724035275939
160,10.029,-33.8079224938977
160,10.03,-34.6430494919496
160,10.031,-35.4777587589035
160,10.032,-36.312024312718
160,10.033,-37.1458199564445
160,10.034,-37.9791192830166
160,10.035,-38.8118956805851
