"interElementDistance [mm]","Freq [GHz]","cang_deg(St(port2_T1,port1_T1)) [deg]"
159,10.026,-16.0842696876174
159,10.027,-16.908290811202
159,10.028,-17.7315348940866
159,10.029,-18.5539645487579
159,10.03,-19.3755423323553
159,10.031,-20.1962307555104
159,10.032,-21.0159922916306
159,10.033,-21.8347893866453
159,10.034,-22.6525844691613
159,10.035,-23.4693399610576
159,10.036,-24.2850182884838
159,10.037,-25.0995818932587
159,10.038,-25.9129932446549
159,10.039,-26.72521485155
159,10.04,-27.5362092749274
159,10.041,-28.3459391407123
159,10.042,-29.1543671529252
159,10.043,-29.9614561071228
159,10.044,-30.7671689041208
159,10.045,-31.5714685639603
159,10.046,-32.3743182401096
159,10.047,-33.1756812338667
159,10.048,-33.9755210089437
159,10.049,-34.7738012062107
159,10.05,-35.5704856585685
160,9.95,35.298203377239
160,9.951,34.5139555024876
160,9.952,33.7279419090674
160,9.953,32.9401905800744
160,9.954,32.1507297084655
160,9.955,31.3595876896534
160,9.956,30.5667931142847
160,9.957,29.7723747611938
160,9.958,28.9763615905753
160,9.959,28.1787827373709
160,9.96,27.3796675048837
160,9.961,26.5790453586436
160,9.962,25.7769459205233
160,9.963,24.9733989631215
160,9.964,24.1684344044258
160,9.965,23.3620823027556
160,9.966,22.5543728520071
160,9.967,21.7453363771857
160,9.968,20.9350033302569
160,9.969,20.1234042863055
160,9.97,19.3105699400063
160,9.971,18.4965311024202
160,9.972,17.6813186981034
160,9.973,16.8649637625441
160,9.974,16.0474974399148
160,9.975,15.2289509811446
160,9.976,14.4093557423115
160,9.977,13.5887431833363
160,9.978,12.7671448669954
160,9.979,11.9445924582241
160,9.98,11.1211177237176
160,9.981,10.2967525318156
160,9.982,9.47152885265954
160,9.983,8.64547875861219
160,9.984,7.81863442493306
160,9.985,6.99102813068633
160,9.986,6.16269225987989
160,9.987,5.33365930280334
160,9.988,4.50396185757059
160,9.989,3.67363263182942
160,9.99,2.84270444463441
160,9.991,2.01121022845971
160,9.992,1.17918303132758
160,9.993,0.346656019043738
160,9.994,-0.486337522492753
160,9.995,-1.31976418491979
160,9.996,-2.15359043500188
160,9.997,-2.98778261221477
160,9.998,-3.82230692632914
160,9.999,-4.65712945503072
160,10,-5.49221614159174
160,10.001,-6.3275327926248
160,10.002,-7.16304507593402
160,10.003,-7.99871851849094
160,10.004,-8.83451850456325
160,10.005,-9.67041027400906
160,10.006,-10.5063589207684
160,10.007,-11.342329391574
160,10.008,-12.1782864849003
